,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chokurdakh,70.6333,147.9167,-6.51,88,10,1.49,RU,1620866102
1,Bredasdorp,-34.5322,20.0403,14.0,94,6,1.54,ZA,1620866102
2,Torbay,47.6666,-52.7314,5.64,78,75,7.72,CA,1620866103
3,Rikitea,-23.1203,-134.9692,25.42,77,85,7.21,PF,1620866104
4,Palāsa,18.7667,84.4167,28.99,84,49,4.66,IN,1620866104
5,Hong Kong,22.2855,114.1577,29.98,81,10,0.45,HK,1620865822
6,Mahibadhoo,3.7833,72.9667,28.62,76,100,11.7,MV,1620866105
7,Shingū,33.7333,135.9833,19.95,92,100,7.45,JP,1620866105
8,Hay River,60.8156,-115.7999,13.95,44,75,3.09,CA,1620865814
9,Puerto Ayora,-0.7393,-90.3518,24.08,93,15,1.79,EC,1620866106
10,Kavaratti,10.5669,72.642,28.03,75,100,2.11,IN,1620866106
11,Busselton,-33.65,115.3333,9.97,63,98,7.18,AU,1620866106
12,East London,-33.0153,27.9116,15.46,79,0,2.36,ZA,1620865971
13,Albany,42.6001,-73.9662,13.12,73,47,2.9,US,1620866067
14,Sibolga,1.7427,98.7792,26.71,81,98,0.71,ID,1620866107
15,Hasaki,35.7333,140.8333,17.75,87,100,5.57,JP,1620866107
16,Nizhniy Tsasuchey,50.5167,115.1333,9.68,42,100,5.04,RU,1620866108
17,Châtellerault,46.8,0.5333,7.97,97,43,4.49,FR,1620866108
18,Norwich,52.6278,1.2983,9.92,83,100,1.03,GB,1620866109
19,Otane,-39.8833,176.6333,11.62,53,85,4.93,NZ,1620866109
20,Narsaq,60.9167,-46.05,8.0,29,9,4.12,GL,1620866110
21,Pisco,-13.7,-76.2167,18.95,82,0,4.12,PE,1620866110
22,Castro,-24.7911,-50.0119,11.93,96,100,1.45,BR,1620866110
23,Barrow,71.2906,-156.7887,-9.01,79,75,6.69,US,1620866111
24,Mount Gambier,-37.8333,140.7667,10.54,93,75,4.12,AU,1620865891
25,Qaanaaq,77.484,-69.3632,-4.28,87,100,4.6,GL,1620866111
26,Laramie,41.3114,-105.5911,-0.28,32,75,7.2,US,1620865975
27,Flinders,-34.5833,150.8552,20.0,73,0,0.89,AU,1620866112
28,Ancud,-41.8697,-73.8203,10.79,89,100,1.41,CL,1620866112
29,Ushuaia,-54.8,-68.3,8.68,53,0,6.17,AR,1620866112
30,Krabi,8.0726,98.9105,31.06,86,40,1.03,TH,1620866113
31,Huilong,31.8111,121.655,21.07,86,100,5.86,CN,1620865922
32,Mahébourg,-20.4081,57.7,24.29,83,75,4.12,MU,1620866113
33,Kananga,-5.8958,22.4178,19.3,77,0,1.56,CD,1620866114
34,Mataura,-46.1927,168.8643,8.89,78,2,0.89,NZ,1620866114
35,Kavieng,-2.5744,150.7967,28.98,70,56,2.0,PG,1620866114
36,Tabou,4.423,-7.3528,26.41,75,10,2.58,CI,1620866115
37,Øksfjord,70.2396,22.3479,5.0,87,20,0.59,NO,1620866115
38,Pacific Grove,36.6177,-121.9166,26.9,84,40,2.24,US,1620866115
39,Wilmington,34.2257,-77.9447,9.92,93,90,4.12,US,1620866063
40,Aswān,24.0934,32.907,25.66,17,0,3.64,EG,1620866116
41,Belle Fourche,44.6714,-103.8522,7.92,65,71,3.58,US,1620866116
